01,1007.8,1009.0,24.6,21.4,82,1.1,200,2.3,200,0.0,0.0,...,0.00,...,...,...
02,1007.2,1008.4,24.1,21.4,85,1.5,190,3.8,180,0.0,0.0,...,0.00,10.0,...,0.0
03,1007.0,1008.2,23.9,21.4,86,0.7,210,1.9,170,0.0,0.0,...,0.00,...,...,...
04,1007.4,1008.6,24.3,21.5,84,1.0,200,2.4,190,0.0,0.0,...,0.00,...,...,...
05,1007.5,1008.7,23.9,21.3,85,0.6,210,2.1,200,0.0,0.0,...,0.00,10.0,...,5.0
06,1008.1,1009.3,24.4,21.2,82,0.8,220,2.2,190,0.0,0.0,0.0,0.00,...,...,...
07,1008.7,1009.9,25.5,21.4,78,1.1,210,2.9,230,0.0,0.0,0.1,0.35,...,...,...
08,1008.9,1010.1,27.2,22.2,74,0.7,200,2.6,210,0.0,0.0,0.0,0.63,15.0,...,9.0
09,1009.1,1010.3,28.9,22.7,69,2.6,230,5.1,200,0.0,0.0,0.2,1.35,15.0,...,6.0
10,1009.2,1010.4,28.4,22.9,72,2.1,260,7.1,230,0.0,0.0,0.3,1.45,...,...,...
11,1008.6,1009.8,29.5,23.6,71,2.0,250,3.9,320,0.0,0.0,0.2,1.55,10.0,...,9.0
12,1008.1,1009.3,29.9,23.5,69,2.0,280,5.0,250,0.0,0.0,0.4,2.06,...,...,...
13,1007.5,1008.7,31.0,24.2,67,2.8,270,6.1,280,0.0,0.0,0.6,2.51,...,...,...
14,1007.4,1008.6,30.3,23.6,67,2.8,260,7.6,280,0.0,0.0,0.3,1.85,10.0,...,8.0
15,1007.3,1008.5,29.7,23.5,69,2.0,300,7.9,300,0.0,0.0,0.6,2.20,...,...,...
16,1007.4,1008.6,29.9,23.5,69,1.4,310,6.2,310,0.0,0.0,0.6,1.50,...,...,...
17,1007.5,1008.7,28.1,22.8,73,1.8,40,6.0,340,0.0,0.0,0.9,1.14,10.0,...,7.0
18,1008.1,1009.3,26.7,22.2,76,2.0,20,4.9,10,0.0,0.0,0.2,0.29,...,...,...
19,1008.6,1009.8,26.3,22.2,78,1.6,360,4.1,340,0.0,0.0,0.0,0.00,...,...,...
20,1009.0,1010.2,26.4,22.1,77,1.1,20,3.6,20,0.0,0.0,...,0.00,10.0,...,9.0
21,1009.4,1010.6,26.1,22.1,79,1.8,70,4.0,80,0.0,0.0,...,0.00,8.0,...,9.0
22,1009.8,1011.0,25.8,22.0,80,1.3,50,4.5,40,0.0,0.0,...,0.00,...,...,...
23,1009.5,1010.7,25.4,22.0,81,1.3,50,3.5,70,0.0,0.0,...,0.00,8.0,...,6.0
24,1009.3,1010.5,25.4,22.1,82,1.2,50,3.4,80,0.0,0.0,...,0.00,...,...,...
